ProgID,OrgName,ProgName,HEPgoal,IndicGrp,Indicator,ProgObjectv,QAPP,SpatExtnt,TempExtnt,Freq,Reference,Contact
HRECOS,PVSC,Hudson River Environmental Conditions Observing System,Water Quality,"Dissolved Oxygen, In Situ Parameters","Dissolved Oxygen, Water Temperature, pH, Turbidity, Conductivity, Salinity, Depth","To understand the ecosystem and manage water resources, provide baseline monitoring data necessary for applied research and modeling, support the use of real-time data in educational settings, provide policy makers and emergency managers with data products to guide decision making, and provide information for safe and efficient commercial use and recreational activities.",Y2012,Passaic River,2013-present,Continuous readings every 15 minutes.,http://www.hrecos.org/,"Greg Alber, GAlber@pvsc.com"
NJHDGamb,PVSC,Baseline Compliance Monitoring,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Fecal coliform, Enterococcus, E. coli, Water Temperature, pH, Dissolved Oxygen, Salinity, Turbidity, Transparency (secchi)",,Y 2015,NY-NJ Harbor and surrounding major tributaries; 35 sites,2016-present,Varies,,"Bridget McKenna, bmckenna@pvsc.com"
PVSCsour,PVSC,Microbial Source Tracking,Water Quality,Pathogens,"Enterococcus, E. coli, Bacterial DNA biomarkers",Source Sampling,Y 2016,"Passaic, Second & Third Rivers; 4 stations",2016-present,Bi-weekly,,"Bridget McKenna, bmckenna@pvsc.com"
PVSCcso,"PVSC, NJ CSO Group",New Jersey CSO Group (PVSCcso),Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Fecal coliform, Enterococcus, E. coli, Water Temperature, pH, Dissolved Oxygen, Conductivity",To assist members with CSO compliance matters such as system characterization.,Y 2015,"NY-NJ Harbor and surrounding major tributaries; select municipal locations; 44 sites (18 sanitary, 18 CSO, 8 Stormwater)",2016-present,"Discrete samples during 3 qualifying wet weather events, 4 samples/location per event",http://www.nj.gov/pvsc/what/njcso/,"Marques Eley, meley@pvsc.com"
QCWA,Quassaick Creek Watershed Alliance,Hudson River Tributary Water Quality Monitoring ,Water Quality,Pathogens,Enterococcus,Measure fecal indicator bacteria and engage the public,Y- available on https://www.riverkeeper.org/water-quality/testing/,Quassaick Watershed - 14 stations,"2014, 2015, 2017",2 x per month from May to October,https://www.riverkeeper.org/water-quality/citizen-data/,"John Gebhards, gebhards@earthlink.net"
RHAmicro,Raritan Headwaters Association,Microplastic Pollution,Water Quality,Contaminants of Emerging Concern,Microplastics,To determine potential sources of microplastic pollution on the South Branch Raritan River.,,South Branch Raritan River; 10 sites between Clinton and Branchburg,2017,1x,https://www.raritanheadwaters.org/2018/10/01/rha-microplastic-study-on-the-south-branch-raritan-river/,"Kristi MacDonald, kmacdonald@raritanheadwaters.org, 908-234-1852, ext. 322"
RHASCSP,Raritan Headwaters Association,Raritan Headwaters Sentinel Climate Stations Project ,Water Quality,In Situ Parameters,"Water Temperature, Conductivity, Water Depth ",An innovative program focused on the impacts of climate change within our watershed?s freshwater systems.,,"Raritan River and tributaries, 5 sites",2022,15 minute intervals,https://www.raritanheadwaters.org/climate-stations/,"Emily Mayer, (908) 234-1852, ext. 322, emayer@raritanheadwaters.org"
RHAstream,Raritan Headwaters Association,Stream Monitoring Program,"Water Quality, Habitat and Ecological, Port and Maritime","Dissolved Oxygen, Pathogens, Nutrients, In Situ Parameters, Marine, Riparian, Toxics","Dissolved Oxygen, E. coli, Nitrogen, Phosphorous, pH, Water Temperature, Air Temperature, Weather Conditions, Stream Flow, Benthic Index of Biotic Integrity, Estuarine & Diadromous Fish Abundance, Stream Health Bioassessment, Loading of contaminants","To determine the antidegradation classification of streams, analyze the causes of impairment and determine if water quality is meeting the standards required under the federal Clean Water Act.",EPA Rapid Bioassessment Protocols for Use in Wadeable Streams and Rivers,"66 permanent monitoring sites in all 52 subwatersheds in the North and South Branch Raritan Region. Additional 6 sites are added based on special ongoing projects per year, total of 72 monitoring sites annually",1995-present (varies per indicator),"annual biological, habitat, and baseline chemical monitoring in June, summer bacterial monitoring of impaired sites and swimming holes, quarterly seasonal chemical monitoring of our 2-year impaired sites, annual SAV surveys",metadata: https://www.raritanheadwaters.org/monitoring-water/surface-water/ access/request data: https://www.raritanheadwaters.org/maps-data/ salamander and fish surveys: https://www.raritanheadwaters.org/aquatic-biodiversity-stream-connectivity/,"Emily Mayer, (908) 234-1852, ext. 322, emayer@raritanheadwaters.org"
RLT,Rensselaer Land Trust,Hudson River Tributary Water Quality Monitoring,Water Quality,Pathogens,Enterococcus,Measure fecal indicator bacteria and engage the public.,Y- available on https://www.riverkeeper.org/water-quality/testing/,"Mill Creek, Moordener, Poesten, Quackenderry, and Wynants Watersheds - 18 stations",2017,1x per month from May to October,https://www.riverkeeper.org/water-quality/citizen-data/,"John Winter, jwinter@renstrust.org"
RIPAfish,RIPA,Fish and Crustacean Survey- Fishing ,Habitat and Ecological Health,Marine,Estuarine & Diadromous Fish Abundance,A monthly fish and crustacean monitoring around Randall's Island.,no,Around shorelines of Randall's Island with special focus on the southern half,2019-present,Infrequently; as observed,https://randallsisland.org/things-to-see-do/park-as-lab/,"Jackie Wu, jackie.wu@randallsisland.org"
RIPApoll,RIPA,Randall's Island Insect Pollinator Surveys,Habitat and Ecological Health,Terrestrial,"Blooming plant species, pollinator insect counts",Establish pollinator biodiversity and abundance of Randall's Island. ,RIPA monitoring protocol,"3 sites on Randall's Island: Little Hell Gate Salt Marsh, Freshwater Meadow, Sunken Meadow Hillside",2018-present,monthly May - October,https://randallsisland.org/things-to-see-do/park-as-lab/,"Jackie Wu, jackie.wu@randallsisland.org"
RIPAsein,RIPA,Fish and Crustacean Survey- Seining,Habitat and Ecological Health,Marine,Estuarine & Diadromous Fish Abundance,A monthly fish and crustacean monitoring at two locations on Randall?s Island.,RIPA monitoring protocol,"2 sites on Randall's Island: Waterfront South, Little Hell Gate Salt Marsh",2015-present,"monthly, May to October mostly",https://randallsisland.org/things-to-see-do/park-as-lab/,"Jackie Wu, jackie.wu@randallsisland.org"
RIPAwq,RIPA,Water Quality,Water Quality,"Dissolved Oxygen, In Situ Parameters","Dissolved Oxygen, Water Temperature, Salinity, Turbidity",Create a baseline data set about the water quality of Randall's Island,RIPA monitoring protocol,"Mostly Little Hell Gate salt Marsh, Bronx Kill, Water's Edge Garden but also wherever we may do fishing clinics",2019-present,At least once every two weeks,https://randallsisland.org/things-to-see-do/park-as-lab/,"Jackie Wu, jackie.wu@randallsisland.org"
RIPAmon,"RIPA, Monarchwatch",Monarch Tagging,Habitat and Ecological Health,Terrestrial,Monarch Abundance,Add to national efforts in monitoring monarch abundance and migration.,following MonarchWatch protocol,Island-wide with focus on wildflower meadows,2019-present,migratory season,https://randallsisland.org/things-to-see-do/park-as-lab/,"Jackie Wu, jackie.wu@randallsisland.org"
RIPAwbir,"RIPA, NY/NJ Audubon",Waterbird Survey,Habitat and Ecological Health,Wetlands,Nesting pairs of Harbor Herons,Establish waterbird biodiversity and abundance of Randall's Island.,RIPA monitoring protocol,10 sites around Randall's Island,2011-present,"twice a month, May to Oct",https://randallsisland.org/things-to-see-do/park-as-lab/,"Jackie Wu, jackie.wu@randallsisland.org"
RIPAchris,"RIPA, NYC Audubon",Christmas Bird Count,Habitat and Ecological Health,Wetlands,Nesting pairs of Harbor Herons,Add to long-term efforts to determine bird abundance during the winter.,no,Island-wide,2017-present,once a year in December,https://randallsisland.org/things-to-see-do/park-as-lab/,"Jackie Wu, jackie.wu@randallsisland.org"
RIPAcwqt,"RIPA, NYCWTA, Billion Oyster Project",Citizens' Water Quality Testing Program,Water Quality,Pathogens,Enterococcus,"To create a baseline of data that, when correlated with rain and tide information, can help better inform boaters and other recreational users of the harbor of likely water quality at their preferred access points and launch sites.",following CWQT protocol,"Little Hell Gate Salt Marsh, Bronx Kill East, Bronx Kill West, Water's Edge Garden Beach","2016-2019, 2022-present","weekly, May to sept",https://randallsisland.org/things-to-see-do/park-as-lab/,"Jackie Wu, jackie.wu@randallsisland.org"
RIPAdebr,"RIPA, Riverkeeper, Ocean Conservancy",Marine Debris,Water Quality,Floatable Debris,Debris collected on beaches,Create baseline of data for marine debris in key locations on Randall's Island.,RIPA monitoring protocol,"Shorelines around Randall's Island; Freshwater wetland; Little Hell Gate Salt Marsh, Bronx Kill Salt Marsh",2018-present,Monthly,https://randallsisland.org/things-to-see-do/park-as-lab/,"Jackie Wu, jackie.wu@randallsisland.org"
RKEEPeast,Riverkeeper,East River Water Quality Monitoring,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Dissolved Oxygen, Enterococcus, Water Temperature, pH, Conductivity, Salinity, Turbidity, Chlorophyll-a",Measure fecal indicator bacteria and engage the public.,,"33 sites from Hells Gate to Throgs Neck, including navigable portions of tributaries",2016-2019,Monthly May to October,https://www.riverkeeper.org/water-quality/citizen-data/east-river/,dshapley@riverkeeper.org
RKEEPHUD,Riverkeeper,Hudson River Estuary Water Quality Monitoring,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Dissolved Oxygen, Enterococcus, Water Temperature, pH, Conductivity, Salinity, Turbidity, Chlorophyll-a, Transparency (secchi), Optical Brighteners ",Measure fecal indicator bacteria and engage the public.,QAPP  https://www.riverkeeper.org/water-quality/testing/,"77  sites, from NY Harbor to Capital District, including mid-channel, near-shore, tributary and sewage treatment plant outfall sites",2006-present,Monthly May to October,(1) https://www.riverkeeper.org/water-quality/hudson-river/   (2) https://www.riverkeeper.org/water-quality/testing/,dshapley@riverkeeper.org
RKEEPHUDt,Riverkeeper,Hudson River Tributary Water Quality Monitoring,Water Quality,Pathogens,Enterococcus,Measure fecal indicator bacteria and engage the public.,QAPP (1) https://www.riverkeeper.org/water-quality/testing/ (2) https://www.riverkeeper.org/wp-content/uploads/2017/02/QAPP-for-RVK-BxRA-HRWA-SLC-CURB-EPA-UWSG-FINAL.pdf,"As of 2022, 27 sites in the Upper Hudson River, Mohawk River, Catskill Creek, Esopus Creek, Rondout Creek, Wallkill River, Quassaick Creek, Pocantico River, Sparkill Creek. Number of sites varies by tributary, but in each case samples are gathered from an entire tributary, source to mouth, in a single day",2011-present,Monthly May to October,(1) https://www.riverkeeper.org/water-quality/citizen-data/  (2) https://www.riverkeeper.org/water-quality/tools-databases/tribdata/,dshapley@riverkeeper.org
RCPEERS,Rockland County,Professional Stream Biomonitoring Program (PEERS),"Water Quality, Habitat and Ecological Health","Dissolved Oxygen, In Situ Parameters, Marine","Dissolved Oxygen, Water Temperature, Salinity, pH, Pressure, Conductivity, Current Speed, Benthic Index of Biotic Integrity","To determine both water quality and the source of impact affecting a site, if any, based on the invertebrate community structure.",,20 stations throughout Rockland County,"2006-present (July 1-Sept 30)
",1 sample per site each season; 20 samples annually,http://rocklandgov.com/departments/environmental-resources/protecting-our-streams-and-waterways/,"Nicole Laible, Rockland County Soil & Water Conservation District Manager, 845-364-2669; laiblen@co.rockland.ny.us"
RJW,Roe Jan Watershed Community,Hudson River Tributary Water Quality Monitoring,Water Quality,"Pathogens, In Situ Parameters","Enterococcus, Water Temperature, Conductivity, Turbidity",Measure fecal indicator bacteria and engage the public.,Y- available on https://www.riverkeeper.org/water-quality/testing/,Roeliff Jansen Watershed - 17 stations,2016-present,1x per month from May to October,(1) https://www.riverkeeper.org/water-quality/citizen-data/ (2) http://waterlab.bard.edu/,"Kaare Christian, kaare@nysite.com"
RRRTHO,Rutgers University's Raritan River Initiative,Raritan River Real-Time Hydrological Observatory,Water Quality,"Dissolved Oxygen, In Situ Parameters","Dissolved Oxygen, pH, Salinity, Turbidity, Water Temperature, Chlorophyll-a, Conductivity, Depth, Pressure, Current Velocity",To create a more comprehensive understanding of the Raritan region.,No,Lower Raritan River; station located at 40.488971N 74.433302W,2017-present,"Every 10 minutes, continuous",http://raritan.rutgers.edu/rtho/,lathrop@crssa.rutgers.edu
CURBcatch,Sarah Lawrence College Center for the Urban River at Beczak,Catch of the Day Seining,"Water Quality, Habitat and Ecological Health","Dissolved Oxygen, In Situ Parameters, Marine","Dissolved Oxygen, Water Temperature, Salinity, pH, Estuarine & Diadromous Fish Abundance",Monitor Hudson River Biodiversity,no,Hudson River at Yonkers,2005-present,100-200 per year ,https://www.centerfortheurbanriver.org/education/k-12/seining.html,"Jason Muller, jmuller@sarahlawrence.edu "
HSCscw,Save Coastal Wildlife,Horseshoe Crab Monitoring,Habitat and Ecological Health,Shorelines and Shallows,Horseshoe Crab Abundance,Horseshoe mating activities in the Bayshore communities.,,5 sites - Sandy Hook Bay and Raritan Bay,2009-present,Annually,,"Joseph Reynolds, jreynolds@savecoastalwildlife.org"
SAWKILL,Saw Kill Watershed Community,Hudson River Tributary Water Quality Monitoring,Water Quality,"Pathogens, In Situ Parameters","Enterococcus, Water Temperature, Turbidity, Chlorophyll-a",Monitor water quality and engage the public,Y- available on https://www.riverkeeper.org/water-quality/testing/,Saw Kill Watershed - 13 Stations,2016-present,1x per month,(1) https://www.riverkeeper.org/water-quality/citizen-data/ (2) http://waterlab.bard.edu/,"Eli Dueker, edueker@bard.edu"
SURFRIDER,Surfrider Foundation NYC Chapter,Surfrider Foundation NYC Chapter?s Blue Water Task Force,Water Quality,Pathogens,Enterococcus,"A volunteer-run water testing, education and advocacy program to alert community members and elected officials about water quality and advocates for solutions.",,"2 sites at Rockaway Beach - Beach 69, Beach 92",2017-present,"Weekly year round, monthly minimum",https://bwtf.surfrider.org/explore/38,BWTF@nyc.surfrider.org
ACEhars,"US Army Corp of Engineers, EPA",Historic Area Remediation Site (HARS) ,Port and Maritime,Toxics,"PCBs, Dioxin in sediments, PAHs in sediment, Metals in sediments (Hg, Cr, Cd, Pb), Loadings of Contaminants
",To assess the status of the site for ecological impacts (both biological and physical) as well as the stability of the mounds and caps.,No - 2010 Monitoring Plan: http://www.nan.usace.army.mil/Portals/37/docs/civilworks/HARS/finalsmmp.pdf,NY Harbor,1997-present,Ongoing,http://www.nan.usace.army.mil/Missions/Navigation/Historic-Area-Remediation-Site-HARS/,"Stephen C. Knowles, Ph.D., (917) 790-8538, stephen.c.knowles@usace.army.mil "
NESQA,USGS,Northeast Region Stream Quality Assessment,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Dissolved Oxygen, Nitrogen, Nitrate, Ammonia, Phosphorous, pH, Water Temperature","Assess stream ecology and habitat; concentrations of contaminants, nutrients, and suspended sediment in water and streambed sediment; toxicity of water and streambed sediment; surrounding land use.",,"Northeast, 2 sites in NJ and 48 in NY",2016,up to 10 consecutive weeks of discrete samples,https://webapps.usgs.gov/RSQA/#!/region/NESQA,gs-w_nawqa_whq@usgs.gov
USGSCond,USGS,Current Water Data for NY/NJ,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Dissolved Oxygen, Nitrate, Water Temperature, pH, Turbidity, Chlorophyll-a","To provide accurate and up-to-date information on stream, tide, and flood conditions necessary to minimize the loss of life and property and protect and enhance water resources for human health, aquatic health, and environmental quality per the Water Mission Area mission statement.",,New York/New Jersey,1966-present,"Continuous, variations in frequency","(1) https://waterwatch.usgs.gov/wqwatch/map?state=ny&pcode=00010 
(2) https://www.usgs.gov/centers/ny-water/science/current-water-conditions-new-york?qt-science_center_objects=0#qt-science_center_objects","Ronald Busciolano, rjbuscio@usgs.gov; Guy Foster, gfoster@usgs.gov; Heidi Hoppe, hhoppe@usgs.gov"
USGSHist,USGS,Water Quality Samples for NY,"Water Quality, Port and Maritime","Dissolved Oxygen, Nutrients, In Situ Parameters, Toxics","Dissolved Oxygen, Nitrogen, Nitrate, Ammonia, Phosphorous, Water Temperature, Turbidity, Salinity, Chlorophyll-a, Metals in Sediment (Hg, Cr, Cd, Pb) , PCBs",Historical water quality data,,New York/New Jersey,1932-present,Varies, (1) https://nwis.waterdata.usgs.gov/ny/nwis/qwdata and (2) https://nwis.waterdata.usgs.gov/nj/nwis/qwdata,"Ronald Busciolano, rjbuscio@usgs.gov
"
USGSTides,USGS,National Water Information System: Current Conditions,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Dissolved Oxygen, Nitrate, pH, Water Temperature, Chlorophyll-a, Phycoetherin, Turbidity, Salinity","Provide data for sea-level and climate changes, TMDL development, and sediment flux",,"Long Island Sound, Hempstead Bay, Jamaica Bay (Rockaway Inlet) - 23 sites",1997-present,Continuous,"(1) https://waterdata.usgs.gov/nwis/rt
(2) https://www.arcgis.com/home/webmap/viewer.html?webmap=f281db43697449e894e8642cfb781b83&extent=-74.4401%2C40.2047%2C-71.7979%2C41.6243","Ronald Busciolano, rjbuscio@usgs.gov; Guy Foster, gfoster@usgs.gov"
VCPA,Van Cortlandt Park Alliance,Tibbetts Brook Water Quality Monitoring,Water Quality,"Pathogens, Nutrients, In Situ Parameters","Nitrate, Ammonia, Phosphorous, Turbidity, Enterococcus, Fecal Coliform",Tibbetts Brook is one of the last above ground streams left in NYC due to development. Since December of 2015 the Friends in association with Manhattan College?s Civil & Environmental Engineering Department have been monitoring the health of Tibbetts Brook and the associated Hester & Piero's Mill Pond in order to better understand human impacts on the aquatic system. Nutrient and Bacteria sampling are included.,QAPP,Tibbetts Brook & Hester & Piero's Mill Pond; 9 sites,2016-present,Alternating weeks,https://vancortlandt.org/programs-overview/research-projects/,"John Butler, john@vancortlandt.org "
WHOIfish,"Woods Hole Oceanographic Institution, Wildlife Conservation Society, NOAA",Autonomous Real-time Marine Mammal Detections,Habitat and Ecological Health,Marine,Whale & Dolphin Abundance,"Providing scientists, managers, and the public with near real-time information on whale presence.","all whale detection data from the buoy is reviewed by a person, and the data distributed to stakeholders in near real time is the results of the human review (not the raw data).  We have an extensive protocol in place for the analyst to review the detection information","40.2607, -73.2200, right outside the harbor",June 2016-present,24 hour,"http://dcs.whoi.edu/nyb0616/nyb0616.shtml, http://dcs.whoi.edu/nyb0218/nyb0218_buoy.shtml","Mark Baumgartner, Associate scientist and PI at WHOI, mbaumgartner@whoi.edu
508-289-2678"
RRWAwq,Rahway River Watershed Association & NJDEP,Water Quality Monitoring Program,"Water Quality, Habitat and Ecological Health","In Situ Parameters, Riparian",To assess the condition of the river.,"Water Temperature, Water Clarity, Riparian Area Integrity, Area of Coastal Forest & Grassland, Upland Quality/Functionality",Rahway River Branches and tributary streams,2018-present,,,https://rahwayriver.org/waterqualitymonitoring.html,"Clea Chia, cleacarchia@outlook.com"
SAMP,Lower Raritan Watershed Partnership & NASA,Soil Moisture Monitoring - Soil Moisture Active Passive (SAMP),Habitat and Ecological Health,Riparian,"To measure soil moisture over a three-year period, every 2-3 days, to develop a soils database.","Soil properties (bulk density, texture, heavy metals, salinity, organic content, nutrients, pH)","5 sites - Bridgewater, Green Brook, Manalapan, North Brunswick, Old Bridge",2017-2019,every 2-3 days,NASA Soil Moisture Monitoring Protocol,,"Heather Fenyk, Ph.D., AICP/PP, hfenyk@lowerraritanwatershed.org 
"
